lecture,slide_id,slide_json,has_text,models_count,concepts_total,concepts_not_in_text,triples_total,triples_with_image_modality,triple_entities_not_in_text,img_modality_rate,not_in_text_rate,image_heavy_score
Lecture 11,Slide44,Lecture 11\Slide44.json,1,5,10,1,2,1,1,0.5,0.1667,0.4
Lecture 12,Slide41,Lecture 12\Slide41.json,1,5,4,1,2,1,0,0.5,0.1667,0.4
Lecture 15,Slide10,Lecture 15\Slide10.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 17,Slide21,Lecture 17\Slide21.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 18,Slide22,Lecture 18\Slide22.json,1,5,10,1,2,1,1,0.5,0.1667,0.4
Lecture 18,Slide25,Lecture 18\Slide25.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 20,Slide14,Lecture 20\Slide14.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 20,Slide25,Lecture 20\Slide25.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 20,Slide30,Lecture 20\Slide30.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 20,Slide5,Lecture 20\Slide5.json,1,5,4,1,2,1,0,0.5,0.1667,0.4
Lecture 21,Slide21,Lecture 21\Slide21.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 22,Slide33,Lecture 22\Slide33.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 22,Slide34,Lecture 22\Slide34.json,1,5,4,1,2,1,0,0.5,0.1667,0.4
Lecture 22,Slide43,Lecture 22\Slide43.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 22,Slide5,Lecture 22\Slide5.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 23,Slide18,Lecture 23\Slide18.json,1,5,4,1,2,1,0,0.5,0.1667,0.4
Lecture 23,Slide26,Lecture 23\Slide26.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 23,Slide38,Lecture 23\Slide38.json,1,5,4,1,2,1,0,0.5,0.1667,0.4
Lecture 23,Slide45,Lecture 23\Slide45.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 23,Slide5,Lecture 23\Slide5.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 4,Slide36,Lecture 4\Slide36.json,1,5,10,0,2,1,2,0.5,0.1667,0.4
Lecture 4,Slide46,Lecture 4\Slide46.json,1,5,4,1,2,1,0,0.5,0.1667,0.4
Lecture 8,Slide23,Lecture 8\Slide23.json,1,5,4,0,2,1,1,0.5,0.1667,0.4
Lecture 12,Slide31,Lecture 12\Slide31.json,1,5,11,0,2,1,2,0.5,0.1538,0.3962
Lecture 17,Slide38,Lecture 17\Slide38.json,1,5,11,0,2,1,2,0.5,0.1538,0.3962
Lecture 19,Slide3,Lecture 19\Slide3.json,1,5,11,1,2,1,1,0.5,0.1538,0.3962
Lecture 22,Slide41,Lecture 22\Slide41.json,1,5,11,1,2,1,1,0.5,0.1538,0.3962
Lecture 16,Slide30,Lecture 16\Slide30.json,1,5,12,1,2,1,1,0.5,0.1429,0.3929
Lecture 17,Slide43,Lecture 17\Slide43.json,1,5,5,0,2,1,1,0.5,0.1429,0.3929
Lecture 21,Slide30,Lecture 21\Slide30.json,1,5,12,1,2,1,1,0.5,0.1429,0.3929
Lecture 21,Slide36,Lecture 21\Slide36.json,1,5,12,1,2,1,1,0.5,0.1429,0.3929
Lecture 6,Slide20,Lecture 6\Slide20.json,1,5,5,0,2,1,1,0.5,0.1429,0.3929
Lecture 14,Slide9,Lecture 14\Slide9.json,1,5,13,1,2,1,1,0.5,0.1333,0.39
Lecture 21,Slide27,Lecture 21\Slide27.json,1,5,13,1,2,1,1,0.5,0.1333,0.39
Lecture 11,Slide14,Lecture 11\Slide14.json,1,5,20,1,4,2,2,0.5,0.125,0.3875
Lecture 17,Slide32,Lecture 17\Slide32.json,1,5,4,1,4,2,0,0.5,0.125,0.3875
Lecture 18,Slide6,Lecture 18\Slide6.json,1,5,4,0,4,2,1,0.5,0.125,0.3875
Lecture 20,Slide29,Lecture 20\Slide29.json,1,5,4,0,4,2,1,0.5,0.125,0.3875
Lecture 20,Slide9,Lecture 20\Slide9.json,1,5,4,1,4,2,0,0.5,0.125,0.3875
Lecture 3,Slide11,Lecture 3\Slide11.json,1,5,4,1,4,2,0,0.5,0.125,0.3875
Lecture 9,Slide9,Lecture 9\Slide9.json,1,5,12,1,4,2,1,0.5,0.125,0.3875
Lecture 10,Slide49,Lecture 10\Slide49.json,1,5,6,1,2,1,0,0.5,0.125,0.3875
Lecture 20,Slide42,Lecture 20\Slide42.json,1,5,6,0,2,1,1,0.5,0.125,0.3875
Lecture 11,Slide58,Lecture 11\Slide58.json,1,5,15,1,2,1,1,0.5,0.1176,0.3853
Lecture 14,Slide37,Lecture 14\Slide37.json,1,5,5,0,4,2,1,0.5,0.1111,0.3833
Lecture 1,Slide15,Lecture 1\Slide15.json,1,5,8,1,2,1,0,0.5,0.1,0.38
Lecture 1,Slide37,Lecture 1\Slide37.json,1,5,8,0,2,1,1,0.5,0.1,0.38
Lecture 8,Slide8,Lecture 8\Slide8.json,1,5,18,0,2,1,2,0.5,0.1,0.38
Lecture 11,Slide15,Lecture 11\Slide15.json,1,5,9,0,2,1,1,0.5,0.0909,0.3773
Lecture 12,Slide46,Lecture 12\Slide46.json,1,5,9,1,2,1,0,0.5,0.0909,0.3773
Lecture 14,Slide52,Lecture 14\Slide52.json,1,5,9,0,2,1,1,0.5,0.0909,0.3773
Lecture 15,Slide1,Lecture 15\Slide1.json,1,5,9,0,2,1,1,0.5,0.0909,0.3773
Lecture 23,Slide32,Lecture 23\Slide32.json,1,5,9,1,2,1,0,0.5,0.0909,0.3773
Lecture 15,Slide7,Lecture 15\Slide7.json,1,5,10,1,2,1,0,0.5,0.0833,0.375
Lecture 17,Slide25,Lecture 17\Slide25.json,1,5,22,0,2,1,2,0.5,0.0833,0.375
Lecture 18,Slide35,Lecture 18\Slide35.json,1,5,10,0,2,1,1,0.5,0.0833,0.375
Lecture 20,Slide38,Lecture 20\Slide38.json,1,5,10,1,2,1,0,0.5,0.0833,0.375
Lecture 20,Slide47,Lecture 20\Slide47.json,1,5,10,0,2,1,1,0.5,0.0833,0.375
Lecture 20,Slide37,Lecture 20\Slide37.json,1,5,9,0,4,2,1,0.5,0.0769,0.3731
Lecture 21,Slide39,Lecture 21\Slide39.json,1,5,9,1,4,2,0,0.5,0.0769,0.3731
Lecture 15,Slide12,Lecture 15\Slide12.json,1,5,11,1,2,1,0,0.5,0.0769,0.3731
Lecture 22,Slide20,Lecture 22\Slide20.json,1,5,11,1,2,1,0,0.5,0.0769,0.3731
Lecture 23,Slide16,Lecture 23\Slide16.json,1,5,11,1,2,1,0,0.5,0.0769,0.3731
Lecture 8,Slide5,Lecture 8\Slide5.json,1,5,11,0,2,1,1,0.5,0.0769,0.3731
Lecture 16,Slide41,Lecture 16\Slide41.json,1,5,11,0,4,2,1,0.5,0.0667,0.37
Lecture 4,Slide26,Lecture 4\Slide26.json,1,5,11,0,4,2,1,0.5,0.0667,0.37
Lecture 10,Slide13,Lecture 10\Slide13.json,1,5,13,0,2,1,1,0.5,0.0667,0.37
Lecture 17,Slide36,Lecture 17\Slide36.json,1,5,13,0,2,1,1,0.5,0.0667,0.37
Lecture 12,Slide42,Lecture 12\Slide42.json,1,5,14,0,2,1,1,0.5,0.0625,0.3687
Lecture 16,Slide4,Lecture 16\Slide4.json,1,5,14,0,2,1,1,0.5,0.0625,0.3687
Lecture 21,Slide22,Lecture 21\Slide22.json,1,5,14,1,2,1,0,0.5,0.0625,0.3687
Lecture 8,Slide7,Lecture 8\Slide7.json,1,5,14,1,2,1,0,0.5,0.0625,0.3687
Lecture 12,Slide17,Lecture 12\Slide17.json,1,5,15,0,2,1,1,0.5,0.0588,0.3676
Lecture 22,Slide15,Lecture 22\Slide15.json,1,5,15,0,2,1,1,0.5,0.0588,0.3676
Lecture 18,Slide20,Lecture 18\Slide20.json,1,5,16,0,2,1,1,0.5,0.0556,0.3667
Lecture 17,Slide53,Lecture 17\Slide53.json,1,5,18,1,2,1,0,0.5,0.05,0.365
Lecture 15,Slide16,Lecture 15\Slide16.json,1,5,19,0,2,1,1,0.5,0.0476,0.3643
Lecture 16,Slide16,Lecture 16\Slide16.json,1,5,19,0,2,1,1,0.5,0.0476,0.3643
Lecture 23,Slide12,Lecture 23\Slide12.json,1,5,18,1,4,2,0,0.5,0.0455,0.3636
Lecture 11,Slide29,Lecture 11\Slide29.json,1,5,4,1,3,1,2,0.3333,0.4286,0.3619
Lecture 12,Slide22,Lecture 12\Slide22.json,1,5,4,1,3,1,2,0.3333,0.4286,0.3619
Lecture 20,Slide43,Lecture 20\Slide43.json,1,5,4,1,3,1,2,0.3333,0.4286,0.3619
Lecture 22,Slide42,Lecture 22\Slide42.json,1,5,4,1,3,1,2,0.3333,0.4286,0.3619
Lecture 2,Slide17,Lecture 2\Slide17.json,1,5,7,2,3,1,2,0.3333,0.4,0.3533
Lecture 16,Slide32,Lecture 16\Slide32.json,1,5,16,0,8,4,0,0.5,0.0,0.35
Lecture 11,Slide60,Lecture 11\Slide60.json,1,5,12,0,4,2,0,0.5,0.0,0.35
Lecture 12,Slide6,Lecture 12\Slide6.json,1,5,4,0,4,2,0,0.5,0.0,0.35
Lecture 17,Slide1,Lecture 17\Slide1.json,1,5,14,0,4,2,0,0.5,0.0,0.35
Lecture 17,Slide29,Lecture 17\Slide29.json,1,5,17,0,4,2,0,0.5,0.0,0.35
Lecture 17,Slide45,Lecture 17\Slide45.json,1,5,15,0,4,2,0,0.5,0.0,0.35
Lecture 22,Slide1,Lecture 22\Slide1.json,1,5,19,0,4,2,0,0.5,0.0,0.35
Lecture 6,Slide4,Lecture 6\Slide4.json,1,5,21,0,4,2,0,0.5,0.0,0.35
Lecture 1,Slide4,Lecture 1\Slide4.json,1,5,13,0,2,1,0,0.5,0.0,0.35
Lecture 1,Slide43,Lecture 1\Slide43.json,1,5,12,0,2,1,0,0.5,0.0,0.35
Lecture 1,Slide50,Lecture 1\Slide50.json,1,5,26,0,2,1,0,0.5,0.0,0.35
Lecture 11,Slide42,Lecture 11\Slide42.json,1,5,4,0,2,1,0,0.5,0.0,0.35
Lecture 11,Slide51,Lecture 11\Slide51.json,1,5,4,0,2,1,0,0.5,0.0,0.35
Lecture 12,Slide23,Lecture 12\Slide23.json,1,5,12,0,2,1,0,0.5,0.0,0.35
Lecture 12,Slide45,Lecture 12\Slide45.json,1,5,4,0,2,1,0,0.5,0.0,0.35
Lecture 13,Slide42,Lecture 13\Slide42.json,1,5,18,0,2,1,0,0.5,0.0,0.35
Lecture 14,Slide27,Lecture 14\Slide27.json,1,5,4,0,2,1,0,0.5,0.0,0.35
Lecture 14,Slide40,Lecture 14\Slide40.json,1,5,10,0,2,1,0,0.5,0.0,0.35
Lecture 14,Slide43,Lecture 14\Slide43.json,1,5,13,0,2,1,0,0.5,0.0,0.35
Lecture 15,Slide11,Lecture 15\Slide11.json,1,5,14,0,2,1,0,0.5,0.0,0.35
Lecture 15,Slide18,Lecture 15\Slide18.json,1,5,11,0,2,1,0,0.5,0.0,0.35
Lecture 15,Slide22,Lecture 15\Slide22.json,1,5,10,0,2,1,0,0.5,0.0,0.35
Lecture 16,Slide54,Lecture 16\Slide54.json,1,5,14,0,2,1,0,0.5,0.0,0.35
Lecture 17,Slide47,Lecture 17\Slide47.json,1,5,19,0,2,1,0,0.5,0.0,0.35
Lecture 17,Slide54,Lecture 17\Slide54.json,1,5,12,0,2,1,0,0.5,0.0,0.35
Lecture 18,Slide10,Lecture 18\Slide10.json,1,5,10,0,2,1,0,0.5,0.0,0.35
Lecture 18,Slide11,Lecture 18\Slide11.json,1,5,14,0,2,1,0,0.5,0.0,0.35
Lecture 18,Slide28,Lecture 18\Slide28.json,1,5,16,0,2,1,0,0.5,0.0,0.35
Lecture 19,Slide12,Lecture 19\Slide12.json,1,5,3,0,2,1,0,0.5,0.0,0.35
Lecture 19,Slide37,Lecture 19\Slide37.json,1,5,3,0,2,1,0,0.5,0.0,0.35
Lecture 19,Slide52,Lecture 19\Slide52.json,1,5,3,0,2,1,0,0.5,0.0,0.35
Lecture 2,Slide35,Lecture 2\Slide35.json,1,5,29,0,2,1,0,0.5,0.0,0.35
Lecture 20,Slide22,Lecture 20\Slide22.json,1,5,4,0,2,1,0,0.5,0.0,0.35
Lecture 20,Slide39,Lecture 20\Slide39.json,1,5,4,0,2,1,0,0.5,0.0,0.35
Lecture 21,Slide28,Lecture 21\Slide28.json,1,5,10,0,2,1,0,0.5,0.0,0.35
Lecture 21,Slide9,Lecture 21\Slide9.json,1,5,17,0,2,1,0,0.5,0.0,0.35
Lecture 22,Slide11,Lecture 22\Slide11.json,1,5,13,0,2,1,0,0.5,0.0,0.35
Lecture 22,Slide13,Lecture 22\Slide13.json,1,5,10,0,2,1,0,0.5,0.0,0.35
Lecture 23,Slide14,Lecture 23\Slide14.json,1,5,9,0,2,1,0,0.5,0.0,0.35
Lecture 23,Slide17,Lecture 23\Slide17.json,1,5,4,0,2,1,0,0.5,0.0,0.35
Lecture 23,Slide39,Lecture 23\Slide39.json,1,5,4,0,2,1,0,0.5,0.0,0.35
Lecture 3,Slide15,Lecture 3\Slide15.json,1,5,8,0,2,1,0,0.5,0.0,0.35
Lecture 3,Slide18,Lecture 3\Slide18.json,1,5,11,0,2,1,0,0.5,0.0,0.35
Lecture 3,Slide31,Lecture 3\Slide31.json,1,5,15,0,2,1,0,0.5,0.0,0.35
Lecture 4,Slide20,Lecture 4\Slide20.json,1,5,19,0,2,1,0,0.5,0.0,0.35
Lecture 4,Slide38,Lecture 4\Slide38.json,1,5,12,0,2,1,0,0.5,0.0,0.35
Lecture 5,Slide28,Lecture 5\Slide28.json,1,5,3,0,2,1,0,0.5,0.0,0.35
Lecture 6,Slide21,Lecture 6\Slide21.json,1,5,13,0,2,1,0,0.5,0.0,0.35
Lecture 7,Slide12,Lecture 7\Slide12.json,1,5,10,0,2,1,0,0.5,0.0,0.35
Lecture 8,Slide4,Lecture 8\Slide4.json,1,5,9,0,2,1,0,0.5,0.0,0.35
Lecture 8,Slide6,Lecture 8\Slide6.json,1,5,22,0,2,1,0,0.5,0.0,0.35
Lecture 9,Slide10,Lecture 9\Slide10.json,1,5,15,0,2,1,0,0.5,0.0,0.35
Lecture 9,Slide11,Lecture 9\Slide11.json,1,5,11,0,2,1,0,0.5,0.0,0.35
Lecture 9,Slide12,Lecture 9\Slide12.json,1,5,17,0,2,1,0,0.5,0.0,0.35
Lecture 9,Slide4,Lecture 9\Slide4.json,1,5,13,0,2,1,0,0.5,0.0,0.35
Lecture 9,Slide5,Lecture 9\Slide5.json,1,5,14,0,2,1,0,0.5,0.0,0.35
Lecture 9,Slide7,Lecture 9\Slide7.json,1,5,13,0,2,1,0,0.5,0.0,0.35
Lecture 21,Slide4,Lecture 21\Slide4.json,1,5,3,2,3,1,0,0.3333,0.3333,0.3333
Lecture 6,Slide13,Lecture 6\Slide13.json,1,5,3,1,3,1,1,0.3333,0.3333,0.3333
Lecture 22,Slide40,Lecture 22\Slide40.json,1,5,13,3,3,1,2,0.3333,0.3125,0.3271
Lecture 11,Slide18,Lecture 11\Slide18.json,1,5,4,1,3,1,1,0.3333,0.2857,0.319
Lecture 14,Slide8,Lecture 14\Slide8.json,1,5,4,1,3,1,1,0.3333,0.2857,0.319
Lecture 16,Slide18,Lecture 16\Slide18.json,1,5,4,2,3,1,0,0.3333,0.2857,0.319
Lecture 16,Slide37,Lecture 16\Slide37.json,1,5,4,0,3,1,2,0.3333,0.2857,0.319
Lecture 16,Slide46,Lecture 16\Slide46.json,1,5,4,2,3,1,0,0.3333,0.2857,0.319
Lecture 16,Slide51,Lecture 16\Slide51.json,1,5,4,1,3,1,1,0.3333,0.2857,0.319
Lecture 16,Slide8,Lecture 16\Slide8.json,1,5,4,1,3,1,1,0.3333,0.2857,0.319
Lecture 20,Slide24,Lecture 20\Slide24.json,1,5,4,1,3,1,1,0.3333,0.2857,0.319
Lecture 11,Slide63,Lecture 11\Slide63.json,1,5,4,1,5,2,0,0.4,0.1111,0.3133
Lecture 12,Slide35,Lecture 12\Slide35.json,1,5,4,1,5,2,0,0.4,0.1111,0.3133
Lecture 20,Slide52,Lecture 20\Slide52.json,1,5,4,1,5,2,0,0.4,0.1111,0.3133
Lecture 8,Slide17,Lecture 8\Slide17.json,1,5,4,1,5,2,0,0.4,0.1111,0.3133
Lecture 12,Slide7,Lecture 12\Slide7.json,1,5,14,1,5,2,1,0.4,0.1053,0.3116
Lecture 9,Slide8,Lecture 9\Slide8.json,1,5,14,1,5,2,1,0.4,0.1053,0.3116
Lecture 11,Slide37,Lecture 11\Slide37.json,1,5,10,1,3,1,2,0.3333,0.2308,0.3026
Lecture 10,Slide2,Lecture 10\Slide2.json,1,5,1,1,0,0,0,0.0,1.0,0.3
Lecture 6,Slide2,Lecture 6\Slide2.json,1,5,1,1,0,0,0,0.0,1.0,0.3
Lecture 1,Slide12,Lecture 1\Slide12.json,1,5,12,0,5,2,1,0.4,0.0588,0.2976
Lecture 14,Slide23,Lecture 14\Slide23.json,1,5,11,2,3,1,1,0.3333,0.2143,0.2976
Lecture 4,Slide8,Lecture 4\Slide8.json,1,5,17,1,5,2,0,0.4,0.0455,0.2936
Lecture 17,Slide6,Lecture 17\Slide6.json,1,5,4,0,6,2,2,0.3333,0.2,0.2933
Lecture 23,Slide21,Lecture 23\Slide21.json,1,5,12,1,3,1,2,0.3333,0.2,0.2933
Lecture 11,Slide28,Lecture 11\Slide28.json,1,5,9,0,3,1,2,0.3333,0.1667,0.2833
Lecture 1,Slide44,Lecture 1\Slide44.json,1,5,9,0,5,2,0,0.4,0.0,0.28
Lecture 14,Slide60,Lecture 14\Slide60.json,1,5,4,0,5,2,0,0.4,0.0,0.28
Lecture 17,Slide30,Lecture 17\Slide30.json,1,5,12,0,5,2,0,0.4,0.0,0.28
Lecture 22,Slide35,Lecture 22\Slide35.json,1,5,14,0,5,2,0,0.4,0.0,0.28
Lecture 23,Slide11,Lecture 23\Slide11.json,1,5,4,0,5,2,0,0.4,0.0,0.28
Lecture 6,Slide34,Lecture 6\Slide34.json,1,5,3,0,5,2,0,0.4,0.0,0.28
Lecture 11,Slide32,Lecture 11\Slide32.json,1,5,4,1,3,1,0,0.3333,0.1429,0.2762
Lecture 12,Slide29,Lecture 12\Slide29.json,1,5,11,2,3,1,0,0.3333,0.1429,0.2762
Lecture 12,Slide32,Lecture 12\Slide32.json,1,5,11,0,3,1,2,0.3333,0.1429,0.2762
Lecture 14,Slide28,Lecture 14\Slide28.json,1,5,4,0,3,1,1,0.3333,0.1429,0.2762
Lecture 16,Slide19,Lecture 16\Slide19.json,1,5,4,0,3,1,1,0.3333,0.1429,0.2762
Lecture 17,Slide41,Lecture 17\Slide41.json,1,5,4,0,3,1,1,0.3333,0.1429,0.2762
Lecture 20,Slide13,Lecture 20\Slide13.json,1,5,4,0,3,1,1,0.3333,0.1429,0.2762
Lecture 21,Slide41,Lecture 21\Slide41.json,1,5,4,0,3,1,1,0.3333,0.1429,0.2762
Lecture 22,Slide23,Lecture 22\Slide23.json,1,5,4,1,3,1,0,0.3333,0.1429,0.2762
Lecture 21,Slide37,Lecture 21\Slide37.json,1,5,12,1,3,1,1,0.3333,0.1333,0.2733
Lecture 17,Slide35,Lecture 17\Slide35.json,1,5,13,0,3,1,2,0.3333,0.125,0.2708
Lecture 16,Slide9,Lecture 16\Slide9.json,1,5,14,0,3,1,2,0.3333,0.1176,0.2686
Lecture 18,Slide50,Lecture 18\Slide50.json,1,5,14,0,3,1,2,0.3333,0.1176,0.2686
Lecture 21,Slide10,Lecture 21\Slide10.json,1,5,16,1,3,1,1,0.3333,0.1053,0.2649
Lecture 4,Slide9,Lecture 4\Slide9.json,1,5,17,1,3,1,1,0.3333,0.1,0.2633
Lecture 4,Slide30,Lecture 4\Slide30.json,1,5,9,0,3,1,1,0.3333,0.0833,0.2583
Lecture 6,Slide19,Lecture 6\Slide19.json,1,5,9,1,3,1,0,0.3333,0.0833,0.2583
Lecture 4,Slide15,Lecture 4\Slide15.json,1,5,10,0,3,1,1,0.3333,0.0769,0.2564
Lecture 8,Slide12,Lecture 8\Slide12.json,1,5,10,1,3,1,0,0.3333,0.0769,0.2564
Lecture 17,Slide14,Lecture 17\Slide14.json,1,5,11,1,3,1,0,0.3333,0.0714,0.2548
Lecture 11,Slide41,Lecture 11\Slide41.json,1,5,4,1,4,1,1,0.25,0.25,0.25
Lecture 12,Slide18,Lecture 12\Slide18.json,1,5,4,2,4,1,0,0.25,0.25,0.25
Lecture 18,Slide43,Lecture 18\Slide43.json,1,5,4,0,4,1,2,0.25,0.25,0.25
Lecture 21,Slide11,Lecture 21\Slide11.json,1,5,17,1,3,1,0,0.3333,0.05,0.2483
Lecture 22,Slide21,Lecture 22\Slide21.json,1,5,17,0,3,1,1,0.3333,0.05,0.2483
Lecture 2,Slide22,Lecture 2\Slide22.json,1,5,20,0,3,1,1,0.3333,0.0435,0.2464
Lecture 4,Slide49,Lecture 4\Slide49.json,1,5,23,0,3,1,1,0.3333,0.0385,0.2449
Lecture 14,Slide38,Lecture 14\Slide38.json,1,5,24,0,3,1,1,0.3333,0.037,0.2444
Lecture 1,Slide5,Lecture 1\Slide5.json,1,5,4,0,3,1,0,0.3333,0.0,0.2333
Lecture 1,Slide8,Lecture 1\Slide8.json,1,5,19,0,3,1,0,0.3333,0.0,0.2333
Lecture 11,Slide25,Lecture 11\Slide25.json,1,5,4,0,3,1,0,0.3333,0.0,0.2333
Lecture 11,Slide31,Lecture 11\Slide31.json,1,5,13,0,3,1,0,0.3333,0.0,0.2333
Lecture 11,Slide62,Lecture 11\Slide62.json,1,5,16,0,3,1,0,0.3333,0.0,0.2333
Lecture 12,Slide27,Lecture 12\Slide27.json,1,5,4,0,3,1,0,0.3333,0.0,0.2333
Lecture 12,Slide28,Lecture 12\Slide28.json,1,5,4,0,3,1,0,0.3333,0.0,0.2333
Lecture 12,Slide33,Lecture 12\Slide33.json,1,5,19,0,3,1,0,0.3333,0.0,0.2333
Lecture 14,Slide16,Lecture 14\Slide16.json,1,5,14,0,3,1,0,0.3333,0.0,0.2333
Lecture 14,Slide57,Lecture 14\Slide57.json,1,5,11,0,3,1,0,0.3333,0.0,0.2333
Lecture 16,Slide43,Lecture 16\Slide43.json,1,5,25,0,3,1,0,0.3333,0.0,0.2333
Lecture 16,Slide49,Lecture 16\Slide49.json,1,5,4,0,3,1,0,0.3333,0.0,0.2333
Lecture 17,Slide52,Lecture 17\Slide52.json,1,5,4,0,3,1,0,0.3333,0.0,0.2333
Lecture 18,Slide38,Lecture 18\Slide38.json,1,5,4,0,3,1,0,0.3333,0.0,0.2333
Lecture 2,Slide46,Lecture 2\Slide46.json,1,5,14,0,3,1,0,0.3333,0.0,0.2333
Lecture 20,Slide10,Lecture 20\Slide10.json,1,5,4,0,3,1,0,0.3333,0.0,0.2333
Lecture 20,Slide40,Lecture 20\Slide40.json,1,5,4,0,3,1,0,0.3333,0.0,0.2333
